Candidato;Partido;Ordem2;Circ;Gend
Manuel António Cardoso de Carvalho;CDS;2;viseu;1
Magda Alexandra Figueiredo Ferreira Fernandes;CDS;3;viseu;0
Ruben Daniel Alexandre Silva Felizardo;CDS;4;viseu;1
José Manuel Lopes Flórido;CDS;5;viseu;1
Carlinda Duarte de Jesus Oliveira Loureiro;CDS;6;viseu;0
Maria Carolina da Cunha Santos;CDS;7;viseu;0
Fernando Filipe Moreira;CDS;8;viseu;1
Francisca Albuquerque Matos de Almeida Sampaio;CDS;1;europa;0
José Fernando Pereira Coelho;CDS;2;europa;1
Hussein Jamal Amahad Keshavjee;CDS;1;fora;1
Antónia Inês Trigo Meireles;CDS;2;fora;0
Jorge Manuel de Valsassina Alveias Rodrigues;CH;1;aveiro;1
Hugo Daniel Martins de Sousa;CH;2;aveiro;1
Maria Dulce Simões de Santiago Miranda;CH;3;aveiro;0
Miguel Duarte Vita Martins da Cruz;CH;4;aveiro;1
Carlos Manuel da Costa Cerveira Vasques;CH;5;aveiro;1
Ana Bela de Jesus Bernardino;CH;6;aveiro;0
Alfredo Manuel Saraiva Correia;CH;7;aveiro;1
Luís Miguel de Campos Castro;CH;8;aveiro;1
Íris Vanessa da Silva Santos Marques;CH;9;aveiro;0
Miguel Branco Santos Alves;CH;10;aveiro;1
Manuel José Cunha Almeida;CH;11;aveiro;1
Sónia dos Santos Quintaneiro;CH;12;aveiro;0
Renato Miguel Prata dos Santos;CH;13;aveiro;1
Vítor de Oliveira da Conceição;CH;14;aveiro;1
Sílvia Manuela Rodrigues Mariz;CH;15;aveiro;0
Delfina Alexandra Figueiredo da Silva;CH;16;aveiro;0
Ana Cristina Véstia Moisão;CH;1;beja;0
Nuno Miguel Sousa Franco;CH;2;beja;1
Andreia Sofia Rodrigues Agostinho;CH;3;beja;0
